date,amount,category,sub_category,description,payment_method,is_fixed,memo,installment_type,installment_months
2025-04-01,173420,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
2025-10-02,139090,식비,배달,배달 관련 지출,현금,False,,일시불,
2025-12-01,214320,교육,도서,도서 관련 지출,카드,True,,일시불,
2025-07-01,83920,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
2025-03-13,88160,교통비,주유,주유 관련 지출,현금,False,,일시불,
2025-10-16,242030,의료/건강,헬스장,헬스장 관련 지출,카드,False,,일시불,
2025-10-28,272040,문화/여가,영화,영화 관련 지출,현금,False,,일시불,
2025-11-01,264800,금융/보험,대출,대출 관련 지출,카드,True,,일시불,
2025-07-01,181640,교육,학원,학원 관련 지출,카드,True,,일시불,
2025-12-01,21340,구독,멜론,멜론 관련 지출,현금,True,,일시불,
2025-03-20,45310,식비,식당,식당 관련 지출,현금,False,,일시불,
2025-10-01,78680,주거/통신,월세,월세 관련 지출,현금,True,,일시불,
2025-08-06,188470,의료/건강,헬스장,헬스장 관련 지출,카드,False,,일시불,
2025-11-19,160050,의료/건강,약국,약국 관련 지출,카드,False,,일시불,
2025-12-01,245760,교육,도서,도서 관련 지출,카드,True,,일시불,
2025-09-18,170600,문화/여가,취미,취미 관련 지출,현금,False,,일시불,
2025-05-01,175650,교육,도서,도서 관련 지출,현금,True,,일시불,
2025-03-04,100030,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,현금,False,,일시불,
2025-11-23,33720,교통비,주유,주유 관련 지출,현금,False,,일시불,
2025-10-11,138480,쇼핑,의류,의류 관련 지출,카드,False,,일시불,
2025-12-01,567770,주거/통신,관리비,관리비 관련 지출,카드,True,,일시불,
2025-12-01,76090,교육,도서,도서 관련 지출,현금,True,,일시불,
2025-06-26,56630,식비,카페,카페 관련 지출,카드,False,,일시불,
2025-03-01,79650,교육,강의,강의 관련 지출,카드,True,,일시불,
2025-06-13,58000,교통비,택시,택시 관련 지출,카드,False,,일시불,
2025-03-19,296510,문화/여가,영화,영화 관련 지출,현금,False,,일시불,
2025-02-01,20590,구독,멜론,멜론 관련 지출,현금,True,,일시불,
2025-10-02,243600,문화/여가,공연,공연 관련 지출,카드,False,,일시불,
2025-10-08,107280,쇼핑,의류,의류 관련 지출,카드,False,,일시불,
2025-06-01,263400,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
2025-06-24,56880,식비,카페,카페 관련 지출,현금,False,,일시불,
2025-09-01,135850,교육,도서,도서 관련 지출,카드,True,,일시불,
2025-07-01,772510,주거/통신,인터넷,인터넷 관련 지출,카드,True,,일시불,
2025-09-19,109510,식비,카페,카페 관련 지출,현금,False,,일시불,
2026-01-28,246440,문화/여가,영화,영화 관련 지출,현금,False,,일시불,
2025-02-03,176080,의료/건강,헬스장,헬스장 관련 지출,현금,False,,일시불,
2025-07-01,21370,구독,넷플릭스,넷플릭스 관련 지출,현금,True,,일시불,
2025-12-21,7750,문화/여가,취미,취미 관련 지출,현금,False,,일시불,
2025-01-01,210640,교육,강의,강의 관련 지출,현금,True,,일시불,
2025-09-04,122640,쇼핑,잡화,잡화 관련 지출,현금,False,,일시불,
2025-07-01,236000,교육,강의,강의 관련 지출,현금,True,,일시불,
2025-04-20,59870,교통비,주유,주유 관련 지출,카드,False,,일시불,
2025-11-01,18630,구독,멜론,멜론 관련 지출,카드,True,,일시불,
2025-06-29,122270,의료/건강,병원,병원 관련 지출,현금,False,,일시불,
2025-05-13,98680,의료/건강,병원,병원 관련 지출,현금,False,,일시불,
2025-12-03,236830,의료/건강,병원,병원 관련 지출,현금,False,,일시불,
2025-10-01,219760,주거/통신,인터넷,인터넷 관련 지출,현금,True,,일시불,
2025-10-01,739840,주거/통신,월세,월세 관련 지출,카드,True,,일시불,
2026-01-12,107910,의료/건강,약국,약국 관련 지출,카드,False,,일시불,
2025-03-01,427910,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
2025-02-01,82050,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
2025-02-26,117540,식비,카페,카페 관련 지출,카드,False,,일시불,
2025-07-01,231800,교육,도서,도서 관련 지출,카드,True,,일시불,
2025-11-01,84200,교육,도서,도서 관련 지출,현금,True,,일시불,
2025-03-07,81120,의료/건강,병원,병원 관련 지출,현금,False,,일시불,
2025-08-17,62400,식비,배달,배달 관련 지출,현금,False,,일시불,
2025-10-31,253300,문화/여가,취미,취미 관련 지출,카드,False,,일시불,
2025-01-01,26040,교육,학원,학원 관련 지출,카드,True,,일시불,
2025-04-13,127260,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,현금,False,,일시불,
2025-08-18,9050,식비,배달,배달 관련 지출,현금,False,,일시불,
2025-03-01,269230,교육,강의,강의 관련 지출,카드,True,,일시불,
2025-12-16,179660,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,현금,False,,일시불,
2025-02-01,43200,교육,강의,강의 관련 지출,카드,True,,일시불,
2025-07-08,285130,의료/건강,헬스장,헬스장 관련 지출,카드,False,,일시불,
2026-01-25,272350,문화/여가,취미,취미 관련 지출,카드,False,,일시불,
2025-05-11,121970,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,카드,False,,일시불,
2025-10-06,143200,식비,식당,식당 관련 지출,카드,False,,일시불,
2025-09-13,279440,의료/건강,약국,약국 관련 지출,현금,False,,일시불,
2025-06-01,279360,금융/보험,보험,보험 관련 지출,카드,True,,일시불,
2025-09-04,29300,교통비,택시,택시 관련 지출,카드,False,,일시불,
2025-12-30,65640,식비,배달,배달 관련 지출,카드,False,,일시불,
2025-03-19,62270,교통비,대중교통,대중교통 관련 지출,카드,False,,일시불,
2025-10-01,411560,금융/보험,대출,대출 관련 지출,현금,True,,일시불,
2025-07-01,106260,쇼핑,잡화,잡화 관련 지출,카드,False,,일시불,
2025-05-01,85270,쇼핑,의류,의류 관련 지출,현금,False,,일시불,
2025-04-30,28460,식비,식당,식당 관련 지출,카드,False,,일시불,
2025-10-22,18010,의료/건강,약국,약국 관련 지출,현금,False,,일시불,
2025-05-06,72520,교통비,주차,주차 관련 지출,현금,False,,일시불,
2025-06-24,81740,문화/여가,공연,공연 관련 지출,카드,False,,일시불,
2026-01-07,94490,의료/건강,병원,병원 관련 지출,현금,False,,일시불,
2025-06-11,236450,문화/여가,영화,영화 관련 지출,카드,False,,일시불,
2025-01-01,51370,교육,학원,학원 관련 지출,카드,True,8개월 할부,할부,8.0
2025-06-01,256720,금융/보험,대출,대출 관련 지출,카드,True,,일시불,
2025-10-03,15060,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,카드,False,,일시불,
2025-05-15,116450,식비,배달,배달 관련 지출,현금,False,,일시불,
2025-09-17,41890,쇼핑,의류,의류 관련 지출,현금,False,,일시불,
2025-12-01,733660,주거/통신,인터넷,인터넷 관련 지출,카드,True,,일시불,
2025-10-19,6960,문화/여가,취미,취미 관련 지출,카드,False,,일시불,
2025-07-09,121710,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,카드,False,,일시불,
2025-11-01,241580,금융/보험,대출,대출 관련 지출,현금,True,,일시불,
2025-07-13,58130,식비,식당,식당 관련 지출,카드,False,,일시불,
2025-10-01,144660,금융/보험,대출,대출 관련 지출,현금,True,,일시불,
2025-11-22,26520,교통비,택시,택시 관련 지출,현금,False,,일시불,
2025-09-01,403720,주거/통신,통신비,통신비 관련 지출,현금,True,,일시불,
2025-03-06,97970,교통비,주유,주유 관련 지출,카드,False,,일시불,
2025-04-30,7680,식비,장보기,장보기 관련 지출,현금,False,,일시불,
2025-03-01,157460,금융/보험,대출,대출 관련 지출,현금,True,,일시불,
2025-10-01,248680,교육,도서,도서 관련 지출,현금,True,,일시불,
2025-04-02,174460,문화/여가,공연,공연 관련 지출,카드,False,,일시불,
2025-06-01,483780,금융/보험,보험,보험 관련 지출,카드,True,,일시불,
2025-05-01,584420,주거/통신,관리비,관리비 관련 지출,카드,True,,일시불,
2025-06-01,71860,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
2025-02-24,2260,교통비,택시,택시 관련 지출,카드,False,,일시불,
2025-05-01,495200,금융/보험,대출,대출 관련 지출,카드,True,,일시불,
2025-09-24,98800,식비,배달,배달 관련 지출,카드,False,,일시불,
2025-05-11,17220,의료/건강,헬스장,헬스장 관련 지출,현금,False,,일시불,
2025-06-06,46670,식비,배달,배달 관련 지출,현금,False,,일시불,
2025-12-11,6390,식비,카페,카페 관련 지출,현금,False,,일시불,
2025-08-01,263900,금융/보험,보험,보험 관련 지출,카드,True,,일시불,
2025-05-01,102950,교육,도서,도서 관련 지출,현금,True,,일시불,
2025-07-17,99470,교통비,주유,주유 관련 지출,카드,False,,일시불,
2025-01-01,55180,교육,도서,도서 관련 지출,현금,True,,일시불,
2025-05-01,558640,주거/통신,관리비,관리비 관련 지출,카드,True,,일시불,
2025-09-08,71170,문화/여가,취미,취미 관련 지출,현금,False,,일시불,
2025-11-23,89760,교통비,주차,주차 관련 지출,카드,False,,일시불,
2025-04-04,58180,교통비,대중교통,대중교통 관련 지출,카드,False,,일시불,
2025-08-28,42920,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,현금,False,,일시불,
2025-12-01,19850,구독,넷플릭스,넷플릭스 관련 지출,카드,True,,일시불,
2025-02-09,132110,식비,장보기,장보기 관련 지출,카드,False,,일시불,
2025-06-17,111550,식비,식당,식당 관련 지출,카드,False,,일시불,
2025-05-01,496200,금융/보험,보험,보험 관련 지출,카드,True,,일시불,
2025-04-21,62020,교통비,주유,주유 관련 지출,현금,False,,일시불,
2025-04-04,109810,식비,장보기,장보기 관련 지출,카드,False,,일시불,
2025-07-01,377150,주거/통신,관리비,관리비 관련 지출,현금,True,,일시불,
2025-10-02,284550,문화/여가,영화,영화 관련 지출,현금,False,,일시불,
2025-05-16,133450,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,현금,False,,일시불,
2025-11-24,54240,교통비,주차,주차 관련 지출,현금,False,,일시불,
2026-01-04,85200,교통비,택시,택시 관련 지출,카드,False,,일시불,
2025-03-01,665390,주거/통신,월세,월세 관련 지출,카드,True,,일시불,
2025-10-26,18880,식비,장보기,장보기 관련 지출,현금,False,,일시불,
2025-11-03,9140,교통비,택시,택시 관련 지출,카드,False,,일시불,
2025-07-17,159740,쇼핑,잡화,잡화 관련 지출,카드,False,,일시불,
2025-06-01,407180,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
