날짜,결제금액,가맹점,결제방식,고정비여부,할부,할부개월수
2025-08-21,69570,치과,현금,False,일시불,
2025-01-01,80270,영풍문고,현금,True,일시불,
2025-03-01,205250,월세이체,카드,True,일시불,
2025-12-01,375740,현대해상,카드,True,일시불,
2025-02-22,226520,메디팜,현금,False,일시불,
2025-12-04,53420,GS25,카드,False,일시불,
2025-03-12,39310,요기요,카드,False,일시불,
2025-03-28,83070,클래스101,카드,False,일시불,
2025-05-26,192180,SSG,카드,False,일시불,
2025-07-10,109350,쿠팡이츠,카드,False,일시불,
2025-07-27,244400,교보문고,카드,False,일시불,
2025-11-18,179310,메디팜,현금,False,일시불,
2026-01-01,64740,홍콩반점,현금,False,일시불,
2025-05-01,265300,은행자동이체,현금,True,일시불,
2025-11-14,160930,올리브영,카드,False,일시불,
2025-10-25,39970,H&M,현금,False,일시불,
2025-01-01,200730,월세이체,카드,True,일시불,
2025-04-01,65020,H&M,현금,False,일시불,
2025-10-07,805470,하나투어,현금,False,일시불,
2025-10-01,84100,현대해상,카드,True,일시불,
2025-01-01,449950,월세이체,카드,True,일시불,
2025-09-01,50200,월세이체,현금,True,일시불,
2025-12-27,191220,유니클로,카드,False,일시불,
2026-01-16,51720,서울운수,현금,False,일시불,
2025-02-01,10180,멜론,현금,True,일시불,
2025-05-22,146230,이디야,카드,False,일시불,
2025-05-24,174990,다이소,현금,False,일시불,
2025-10-12,83550,배달의민족,카드,False,일시불,
2025-03-01,28440,YES24,현금,True,일시불,
2025-05-29,54720,인터파크티켓,카드,False,일시불,
2025-12-14,68000,일반택시,카드,False,일시불,
2025-06-19,62130,티머니,카드,False,일시불,
2025-05-12,181070,G마켓,카드,False,일시불,
2025-01-01,10500,멜론,현금,True,일시불,
2025-07-10,98900,집앞책방,카드,False,일시불,
2025-07-21,96140,모두의주차장,카드,False,일시불,
2025-08-12,125560,유니클로,카드,False,일시불,
2025-06-02,197860,인터파크티켓,카드,False,일시불,
2025-10-01,580680,월세이체,현금,True,일시불,
2025-08-01,13300,넷플릭스,카드,True,일시불,
2025-11-01,729360,LG U+,카드,True,일시불,
2025-10-01,199260,수학학원,현금,True,일시불,
2025-02-01,417390,월세이체,카드,True,일시불,
2025-06-23,290440,롯데시네마,현금,False,일시불,
2025-08-07,245960,메디팜,카드,False,일시불,
2025-05-22,70760,교통카드,현금,False,일시불,
2025-05-01,469740,KB손해보험,카드,True,일시불,
2025-08-21,54320,교통카드,현금,False,일시불,
2025-02-27,87320,교통카드,카드,False,일시불,
2025-11-30,166030,무신사,카드,False,일시불,
2025-08-16,33450,치과,현금,False,일시불,
2025-09-10,63770,컴포즈커피,현금,False,일시불,
2025-01-01,39820,수학학원,현금,True,일시불,
2025-02-15,143310,11번가,카드,False,일시불,
2025-07-29,284730,스포애니,카드,False,일시불,
2025-06-16,81460,투썸플레이스,현금,False,일시불,
2025-01-01,425600,현대해상,카드,True,일시불,
2025-08-01,208290,대출이자,현금,True,일시불,
2025-07-01,627480,LG U+,현금,True,일시불,
2025-10-05,73550,예스24티켓,카드,False,일시불,
2025-02-01,246660,KB손해보험,현금,True,일시불,
2025-08-01,81270,삼성화재,현금,True,일시불,
2025-08-26,37970,컴포즈커피,카드,False,일시불,
2025-04-08,23780,UT,카드,False,일시불,
2025-08-21,161390,동네약국,카드,False,일시불,
2025-12-28,61040,스포애니,카드,False,일시불,
2025-06-29,104090,동네내과,현금,False,일시불,
2025-07-01,148930,치과,현금,False,일시불,
2025-09-18,106680,다이소,카드,False,일시불,
2025-06-15,74260,김밥천국,현금,False,일시불,
2025-06-01,195440,교보문고,카드,True,일시불,
2025-09-24,67180,공영주차장,현금,False,일시불,
2025-05-18,32010,S-OIL,현금,False,일시불,
2026-01-31,33400,롯데시네마,카드,False,일시불,
2025-10-01,421890,KB손해보험,현금,True,일시불,
2025-05-24,40290,이디야,현금,False,일시불,
2025-11-19,56160,홍콩반점,카드,False,일시불,
2025-02-01,410120,삼성화재,현금,True,일시불,
2025-08-11,13900,SK주유소,현금,False,일시불,
2026-01-09,46510,공영주차장,현금,False,일시불,
2025-12-18,21280,동네내과,카드,False,일시불,
2025-05-22,108410,이마트,카드,False,일시불,
2025-12-01,272400,메디팜,현금,False,일시불,
2025-08-01,80850,삼성화재,현금,True,일시불,
2025-04-01,245110,YES24,현금,True,일시불,
2025-04-16,160600,다이소,현금,False,일시불,
2025-08-01,349440,대출이자,현금,True,일시불,
2025-08-01,222280,대출이자,현금,True,일시불,
2025-07-01,447140,대출이자,카드,True,할부,2.0
2025-12-09,68780,예스24티켓,현금,False,일시불,
2025-07-01,15520,11번가,카드,False,일시불,
2025-05-01,23730,넷플릭스,현금,True,일시불,
2025-07-01,199700,인프런,카드,True,일시불,
2025-03-11,51100,아트박스,현금,False,일시불,
2025-11-01,21890,수학학원,현금,True,일시불,
2025-12-01,161440,영어학원,현금,True,일시불,
2025-02-08,125310,롯데마트,현금,False,일시불,
2025-10-13,133410,교보문고,현금,False,일시불,
2025-06-04,214750,CGV,카드,False,일시불,
2025-02-01,151220,KT인터넷,카드,True,일시불,
2025-08-04,115290,아고다,카드,False,일시불,
2025-12-18,3540,UT,현금,False,일시불,
2025-03-01,248500,삼성화재,현금,True,일시불,
2025-12-01,124280,KB손해보험,카드,True,일시불,
2025-05-27,82850,GS칼텍스,현금,False,일시불,
2025-11-22,44840,쿠팡,카드,False,일시불,
2026-01-03,74000,메디팜,카드,False,일시불,
2026-01-18,40780,김밥천국,카드,False,일시불,
2025-06-01,227830,알라딘,카드,True,일시불,
2025-03-01,16090,멜론,현금,True,일시불,
2025-02-22,225530,메디팜,카드,False,일시불,
2025-08-13,96440,아트박스,카드,False,일시불,
2025-08-01,100980,클래스101,카드,True,일시불,
2025-06-01,240160,삼성화재,현금,True,일시불,
2025-12-08,10260,티머니,카드,False,일시불,
2025-11-10,214410,예스24티켓,현금,False,일시불,
2025-12-10,54920,치과,현금,False,일시불,
2025-11-01,156020,현대해상,카드,True,할부,9.0
2025-10-21,114900,컴포즈커피,현금,False,일시불,
2025-11-01,239720,알라딘,카드,True,일시불,
2025-08-21,20570,이마트,카드,False,일시불,
2025-09-15,14440,UT,카드,False,일시불,
2025-09-01,111890,LG U+인터넷,현금,True,일시불,
2025-06-26,237580,메디팜,카드,False,일시불,
2025-11-12,56480,공영주차장,카드,False,일시불,
2025-04-01,251260,대출이자,현금,True,일시불,
2025-03-25,74360,배달의민족,카드,False,일시불,
2025-04-24,13380,일반택시,현금,False,일시불,
2025-09-01,384230,LG U+인터넷,카드,True,일시불,
2025-04-09,68910,카카오T주차,현금,False,일시불,
2025-04-01,137760,삼성화재,카드,True,일시불,
2025-12-21,62030,UT,카드,False,일시불,
2025-09-28,16120,한솥도시락,현금,False,일시불,
2025-08-27,77460,김밥천국,카드,False,일시불,
2025-05-04,49600,티머니,카드,False,일시불,
2025-01-01,88190,YES24,카드,True,할부,6.0
2025-03-01,65740,클래스101,현금,True,일시불,
2025-02-17,131250,홈플러스,카드,False,일시불,
2025-06-01,10170,넷플릭스,카드,True,일시불,
2025-07-09,1168170,동네GYM,현금,False,일시불,
2025-11-07,247760,예스24티켓,카드,False,일시불,
2025-07-22,44620,네이버쇼핑,카드,False,일시불,
2025-10-01,180270,KB손해보험,카드,True,할부,5.0
2025-10-01,254100,은행자동이체,카드,True,일시불,
2026-01-01,12900,롯데마트,현금,False,일시불,
2025-08-01,286510,현대해상,카드,True,일시불,
2025-02-13,14800,GS칼텍스,카드,False,일시불,
2025-03-01,25220,넷플릭스,카드,True,일시불,
2025-07-31,61470,CU,현금,False,일시불,
2025-10-01,187620,영어영어,카드,True,일시불,
2025-11-28,180840,동네약국,현금,False,일시불,
2025-09-01,376300,대출이자,카드,True,일시불,
2025-06-01,25480,유튜브프리미엄,현금,True,일시불,
2025-07-01,236360,알라딘,현금,True,일시불,
2025-10-26,249230,동네약국,카드,False,일시불,
2025-06-15,16610,티머니,카드,False,일시불,
2025-03-15,47650,에어비앤비,현금,False,일시불,
2025-03-01,23720,멜론,카드,True,일시불,
2025-11-01,339030,은행자동이체,카드,True,일시불,
2025-01-01,60330,아파트관리비,현금,True,일시불,
2025-12-08,108800,SSG,현금,False,일시불,
2025-01-01,28650,유튜브프리미엄,현금,True,일시불,
2025-12-13,85180,SSG,카드,False,일시불,
2025-07-01,216990,SKT,카드,True,일시불,
2025-04-20,121570,치과,현금,False,일시불,
2025-04-01,791290,월세이체,카드,True,일시불,
2025-09-01,190700,은행자동이체,카드,True,일시불,
2025-06-09,226960,동네약국,현금,False,일시불,
2025-05-14,92880,일반택시,카드,False,일시불,
2025-09-01,241920,현대해상,현금,True,일시불,
2025-08-19,43840,티머니,카드,False,일시불,
2025-10-01,153020,KT인터넷,카드,True,일시불,
2025-01-01,259580,수학학원,현금,True,일시불,
2025-02-08,23210,현대오일뱅크,현금,False,일시불,
2025-07-01,210860,삼성화재,카드,True,일시불,
2025-08-22,41560,쿠팡이츠,카드,False,일시불,
2025-08-01,622670,KT,현금,True,일시불,
2025-06-15,296680,동네헬스장,현금,False,일시불,
2025-05-01,27280,멜론,현금,True,일시불,
2025-10-01,315330,LG U+,현금,True,일시불,
2025-08-01,194900,패스트캠퍼스,현금,True,일시불,
2025-09-01,293080,패스트캠퍼스,카드,True,일시불,
2025-03-10,147930,아트박스,현금,False,일시불,
2025-08-01,77720,삼성화재,카드,True,일시불,
2025-05-01,22130,멜론,현금,True,일시불,
2025-07-19,64840,UT,현금,False,일시불,
2025-02-01,42820,코딩학원,카드,True,일시불,
2025-04-03,32370,UT,카드,False,일시불,
2025-09-14,73310,김밥천국,카드,False,일시불,
2025-07-01,448940,SK브로드밴드,카드,True,일시불,
2025-01-01,334810,KT인터넷,카드,True,일시불,
2025-06-12,5550,예스24티켓,현금,False,일시불,
2025-10-01,379320,현대해상,카드,True,일시불,
2025-08-01,334410,은행자동이체,현금,True,일시불,
2025-12-09,65770,인터파크티켓,현금,False,일시불,
2025-12-10,11130,온누리약국,현금,False,일시불,
2025-09-05,52630,치과,현금,False,일시불,
2025-11-01,399870,대출이자,카드,True,일시불,
2025-02-03,119150,메가커피,카드,False,일시불,
2025-08-31,291820,예스24티켓,카드,False,일시불,
2025-06-01,25180,유튜브프리미엄,카드,True,일시불,
2025-07-01,665980,SKT,현금,True,일시불,
2025-09-22,84850,동네헬스장,현금,False,일시불,
2025-06-21,105410,예스24티켓,카드,False,일시불,
2025-01-01,49830,코딩학원,현금,True,일시불,
2025-10-22,139500,다이소,카드,False,할부,8.0
2025-05-01,12480,클래스101,카드,True,일시불,
2025-01-01,91250,교보문고,현금,True,일시불,
2025-05-01,29500,멜론,카드,True,일시불,
2025-03-01,307780,은행자동이체,현금,True,일시불,
2025-07-28,89110,올리브영,카드,False,일시불,
2025-02-03,124720,정형외과,카드,False,일시불,
2025-02-01,332880,대출이자,현금,True,일시불,
2025-03-26,114320,GS25,현금,False,일시불,
2025-08-01,159020,YES24,카드,True,일시불,
2025-11-01,552640,아파트관리비,카드,True,일시불,
2025-02-01,27460,유튜브프리미엄,현금,True,일시불,
2025-05-31,54700,홍콩반점,카드,False,일시불,
2025-02-01,192820,수학학원,현금,True,일시불,
2025-03-01,57280,아파트관리비,현금,True,일시불,
2025-10-01,217040,대출이자,카드,True,일시불,
2025-04-01,248850,클래스101,카드,True,일시불,
2025-12-29,208330,야놀자,카드,False,일시불,
2025-07-01,15620,멜론,현금,True,일시불,
2025-06-01,295670,인프런,카드,True,일시불,
2025-10-11,85800,CU,카드,False,일시불,
2025-03-01,391840,은행자동이체,카드,True,일시불,
2025-07-18,136160,인터파크티켓,현금,False,일시불,
2025-02-01,224020,YES24,현금,True,일시불,
2025-03-02,57870,여기어때,현금,False,일시불,
2025-10-18,45920,UT,카드,False,일시불,
2025-01-01,256020,교보문고,카드,True,일시불,
2025-07-01,453010,대출이자,현금,True,일시불,
2025-09-17,159260,롯데시네마,카드,False,일시불,
2025-04-26,159400,정형외과,현금,False,일시불,
2025-03-13,299270,야놀자,카드,False,일시불,
2025-02-01,473030,은행자동이체,현금,True,일시불,
2025-06-15,123160,피부과,카드,False,일시불,
2025-08-06,138430,김밥천국,카드,False,일시불,
2025-06-01,307730,SK브로드밴드,카드,True,일시불,
2025-02-25,100670,맘스터치,현금,False,일시불,
2025-10-21,36930,클래스101,카드,False,일시불,
2025-02-01,222870,LG U+,현금,True,일시불,
2025-02-01,152870,동네약국,현금,False,일시불,
2025-05-09,149070,배달의민족,현금,False,일시불,
2025-02-01,608110,SKT,현금,True,일시불,
2025-07-10,91660,SK주유소,카드,False,일시불,
2025-04-01,18560,멜론,카드,True,일시불,
2025-04-25,147290,G마켓,카드,False,일시불,
2025-09-01,331170,아파트관리비,카드,True,일시불,
2025-04-09,16840,동네약국,현금,False,일시불,
2025-12-08,31040,올리브영,카드,False,일시불,
2025-12-01,19460,멜론,현금,True,일시불,
2025-12-13,264890,메디팜,현금,False,일시불,
2025-11-01,205030,수학학원,현금,True,일시불,
2025-07-01,146490,삼성화재,카드,True,일시불,
2025-07-30,24590,GS칼텍스,현금,False,일시불,
2025-06-16,12560,쿠팡이츠,현금,False,일시불,
2025-06-01,46180,카카오T주차,카드,False,일시불,
2025-08-02,277070,메디팜,현금,False,일시불,
2025-08-29,87880,지그재그,카드,False,일시불,
2025-12-02,189290,피부과,카드,False,일시불,
2025-08-19,96570,예스24티켓,카드,False,일시불,
2025-06-01,432480,은행자동이체,카드,True,일시불,
2025-04-13,50280,카카오T,카드,False,일시불,
2025-04-01,328560,월세이체,현금,True,일시불,
2025-02-19,296740,스포애니,카드,False,일시불,
2025-03-11,19340,배달의민족,카드,False,일시불,
2025-08-01,258280,현대해상,카드,True,할부,6.0
2025-11-01,427530,KB손해보험,현금,True,일시불,
2025-05-01,108430,아파트관리비,현금,True,일시불,
2025-02-01,250520,대출이자,카드,True,일시불,
2025-04-01,29060,인프런,현금,True,일시불,
2025-07-01,17960,멜론,카드,True,일시불,
2025-05-05,117940,이마트,현금,False,일시불,
2025-03-28,136820,교보문고,현금,False,일시불,
2025-12-01,649640,LG U+인터넷,현금,True,일시불,
2025-07-29,69870,요기요,카드,False,일시불,
2025-08-01,22540,유튜브프리미엄,카드,True,일시불,
2025-06-12,19720,일반택시,현금,False,일시불,
2025-05-01,561180,KT,카드,True,일시불,
2026-01-21,248070,여기어때,현금,False,일시불,
2025-10-01,199530,대출이자,현금,True,일시불,
2025-12-08,137710,롯데시네마,현금,False,일시불,
2025-09-01,177160,LG U+,카드,True,일시불,
