date,amount,category,sub_category,description,payment_method,is_fixed,installment_type,installment_months
2025-10-20,63650,교통비,주유,S-OIL,카드,False,일시불,
2025-06-01,560380,주거/통신,월세,월세이체,현금,True,일시불,
2025-07-01,256020,금융/보험,보험,현대해상,카드,True,일시불,
2025-09-10,47260,교통비,주차,공영주차장,현금,False,일시불,
2026-01-12,240820,문화/여가,여행,여기어때,카드,False,일시불,
2025-05-07,182610,문화/여가,영화,메가박스,카드,False,일시불,
2025-01-01,173420,교육,학원,수학학원,현금,True,일시불,
2025-11-29,14600,식비,식당,한솥도시락,현금,False,일시불,
2025-05-01,9570,구독,유튜브,유튜브프리미엄,카드,True,일시불,
2025-04-01,299380,금융/보험,보험,현대해상,카드,True,일시불,
2025-09-02,96450,문화/여가,취미,클래스101,현금,False,일시불,
2026-01-10,34250,쇼핑,의류,H&M,현금,False,일시불,
2025-09-03,141390,쇼핑,의류,유니클로,현금,False,일시불,
2025-04-01,162730,교육,강의,인프런,현금,True,일시불,
2025-12-01,230630,금융/보험,대출,은행자동이체,현금,True,일시불,
2025-06-29,132400,쇼핑,온라인 쇼핑,네이버쇼핑,현금,False,일시불,
2025-09-04,124480,쇼핑,의류,유니클로,현금,False,일시불,
2025-05-22,86130,문화/여가,여행,야놀자,현금,False,일시불,
2025-11-01,496630,금융/보험,보험,KB손해보험,현금,True,일시불,
2025-08-30,173290,쇼핑,의류,유니클로,카드,False,할부,5.0
2025-06-05,46240,교통비,대중교통,교통카드,현금,False,일시불,
2025-03-01,536970,주거/통신,월세,월세이체,현금,True,일시불,
2025-07-09,257100,의료/건강,헬스장,동네헬스장,현금,False,일시불,
2025-04-01,299840,주거/통신,월세,월세이체,현금,True,일시불,
2025-05-21,13670,식비,배달,쿠팡이츠,카드,False,일시불,
2025-09-04,117920,의료/건강,약국,온누리약국,현금,False,일시불,
2025-04-01,132870,주거/통신,인터넷,KT인터넷,카드,True,일시불,
2026-01-17,138910,식비,식당,홍콩반점,현금,False,일시불,
2025-11-01,147460,식비,배달,요기요,카드,False,일시불,
2025-11-13,213040,의료/건강,헬스장,동네헬스장,현금,False,일시불,
2025-05-08,105950,쇼핑,온라인 쇼핑,네이버쇼핑,카드,False,일시불,
2025-08-01,28360,구독,멜론,멜론,카드,True,일시불,
2025-02-01,178900,금융/보험,보험,KB손해보험,현금,True,일시불,
2025-05-19,73860,교통비,주유,현대오일뱅크,카드,False,일시불,
2025-07-26,245120,의료/건강,병원,정형외과,카드,False,일시불,
2025-09-01,158000,교육,도서,YES24,카드,True,일시불,
2025-08-26,291030,의료/건강,헬스장,헬스보이짐,현금,False,일시불,
2025-11-01,11170,구독,유튜브,유튜브프리미엄,현금,True,일시불,
2025-10-02,62580,식비,카페,메가커피,현금,False,일시불,
2025-03-18,238050,문화/여가,영화,메가박스,카드,False,일시불,
2025-10-22,74940,교통비,대중교통,티머니,현금,False,일시불,
2025-04-03,87160,식비,카페,컴포즈커피,카드,False,일시불,
2025-04-23,161030,쇼핑,온라인 쇼핑,G마켓,현금,False,일시불,
2025-12-14,27550,문화/여가,영화,메가박스,카드,False,일시불,
2025-06-01,208450,교육,강의,클래스101,카드,True,일시불,
2025-10-17,67680,교통비,주차,카카오T주차,현금,False,일시불,
2025-02-01,685460,주거/통신,월세,월세이체,카드,True,일시불,
2025-10-01,33290,의료/건강,약국,동네약국,카드,False,일시불,
2025-01-01,18620,구독,넷플릭스,넷플릭스,카드,True,일시불,
2025-06-01,150750,교육,학원,코딩학원,카드,True,일시불,
2025-04-14,217160,문화/여가,취미,문구점,카드,False,일시불,
2025-02-01,232200,교육,도서,교보문고,현금,True,일시불,
2025-10-01,269630,교육,강의,클래스101,현금,True,일시불,
2025-07-01,445680,금융/보험,대출,대출이자,현금,True,일시불,
2025-08-28,64100,문화/여가,여행,여기어때,카드,False,일시불,
2025-02-01,115490,금융/보험,보험,삼성화재,현금,True,일시불,
2025-09-01,203710,금융/보험,보험,KB손해보험,현금,True,일시불,
2025-01-01,17910,구독,멜론,멜론,카드,True,일시불,
2025-04-01,323850,금융/보험,보험,삼성화재,카드,True,일시불,
2025-09-29,235420,문화/여가,영화,CGV,카드,False,일시불,
2025-12-01,11780,구독,멜론,멜론,현금,True,일시불,
2025-06-07,47490,의료/건강,헬스장,스포애니,카드,False,일시불,
2025-02-01,177530,교육,학원,코딩학원,현금,True,일시불,
2025-07-01,270920,교육,학원,수학학원,카드,True,일시불,
2025-04-18,116540,식비,배달,쿠팡이츠,현금,False,일시불,
2025-02-01,58630,금융/보험,보험,삼성화재,현금,True,일시불,
2025-12-01,198520,교육,도서,YES24,카드,True,일시불,
2025-03-01,621060,주거/통신,관리비,아파트관리비,현금,True,일시불,
2025-04-01,175160,교육,도서,YES24,현금,True,일시불,
2025-01-01,296530,교육,강의,인프런,현금,True,일시불,
2025-05-01,733850,주거/통신,통신비,KT,현금,True,일시불,
2025-12-10,44590,교통비,택시,UT,현금,False,일시불,
2025-06-23,99590,문화/여가,취미,교보문고,현금,False,일시불,
2025-12-02,44910,교통비,주유,SK주유소,현금,False,일시불,
2025-08-01,735520,주거/통신,월세,월세이체,카드,True,일시불,
2025-01-01,22140,구독,유튜브,유튜브프리미엄,카드,True,일시불,
2025-02-01,18640,교육,학원,수학학원,현금,True,일시불,
2025-05-29,107020,식비,식당,한솥도시락,현금,False,일시불,
2025-10-19,126560,쇼핑,잡화,다이소,카드,False,일시불,
2025-06-24,25250,교통비,대중교통,교통카드,카드,False,일시불,
2025-10-12,33830,의료/건강,약국,동네약국,현금,False,일시불,
2025-08-01,184110,금융/보험,보험,삼성화재,카드,True,일시불,
2025-10-07,120650,의료/건강,헬스장,동네헬스장,카드,False,일시불,
2025-10-15,291310,의료/건강,병원,정형외과,현금,False,일시불,
2025-04-01,441440,금융/보험,보험,KB손해보험,현금,True,일시불,
2025-07-01,465570,금융/보험,대출,대출이자,현금,True,일시불,
2025-03-12,69800,쇼핑,온라인 쇼핑,SSG,현금,False,일시불,
2025-05-01,129770,교육,강의,클래스101,현금,True,일시불,
2025-10-25,29340,쇼핑,의류,지그재그,카드,False,일시불,
2025-10-04,263790,의료/건강,병원,치과,카드,False,일시불,
2026-01-20,32190,교통비,주차,카카오T주차,현금,False,일시불,
2025-08-01,348640,금융/보험,보험,현대해상,현금,True,일시불,
2025-06-02,243300,문화/여가,취미,문구점,카드,False,일시불,
2025-07-04,28130,교통비,대중교통,티머니,현금,False,일시불,
2025-06-01,207820,교육,도서,교보문고,카드,True,일시불,
2025-12-01,400550,금융/보험,보험,삼성화재,카드,True,일시불,
2025-05-01,287050,교육,강의,패스트캠퍼스,현금,True,일시불,
2025-11-06,46500,의료/건강,헬스장,스포애니,현금,False,일시불,
2025-05-31,132690,의료/건강,병원,피부과,카드,False,할부,2.0
2025-11-03,58530,식비,장보기,롯데마트,현금,False,일시불,
2025-01-01,700880,주거/통신,인터넷,KT인터넷,현금,True,일시불,
2025-09-11,61880,교통비,주차,모두의주차장,현금,False,일시불,
2025-08-01,406650,금융/보험,보험,현대해상,카드,True,일시불,
2025-11-11,165460,의료/건강,헬스장,헬스보이짐,카드,False,일시불,
2025-12-08,94010,의료/건강,헬스장,스포애니,현금,False,일시불,
2025-02-01,210070,주거/통신,관리비,아파트관리비,카드,True,일시불,
2025-02-11,46190,교통비,주차,공영주차장,카드,False,일시불,
2025-02-01,121740,교육,도서,교보문고,카드,True,일시불,
2025-05-01,329680,주거/통신,인터넷,KT인터넷,현금,True,일시불,
2025-07-31,73740,문화/여가,공연,인터파크티켓,카드,False,일시불,
2026-01-18,260930,문화/여가,영화,CGV,현금,False,일시불,
2025-10-01,734530,주거/통신,관리비,아파트관리비,현금,True,일시불,
2025-06-13,41740,식비,카페,이디야,현금,False,일시불,
2025-06-01,784990,주거/통신,인터넷,SK브로드밴드,카드,True,일시불,
2025-07-15,81030,식비,배달,요기요,현금,False,일시불,
2026-01-12,170780,문화/여가,영화,롯데시네마,카드,False,일시불,
2025-05-17,20710,교통비,주차,공영주차장,카드,False,일시불,
2025-11-06,62780,교통비,주유,GS칼텍스,카드,False,일시불,
2025-12-01,9030,구독,유튜브,유튜브프리미엄,현금,True,일시불,
2025-08-19,70310,교통비,대중교통,교통카드,현금,False,일시불,
2025-10-16,232020,문화/여가,영화,CGV,카드,False,일시불,
2025-05-23,285500,문화/여가,공연,인터파크티켓,카드,False,일시불,
2025-11-01,491820,금융/보험,대출,은행자동이체,현금,True,일시불,
2025-06-01,748480,주거/통신,월세,월세이체,현금,True,일시불,
2025-03-01,29980,구독,넷플릭스,넷플릭스,카드,True,일시불,
2025-08-02,110390,문화/여가,취미,클래스101,카드,False,일시불,
2025-08-05,25480,식비,식당,서브웨이,현금,False,일시불,
2025-10-01,790740,주거/통신,월세,월세이체,카드,True,일시불,
2025-05-28,141820,식비,카페,스타벅스,현금,False,일시불,
2025-08-01,705130,주거/통신,통신비,LG U+,카드,True,일시불,
2025-07-05,268500,의료/건강,약국,온누리약국,카드,False,일시불,
2025-04-01,195750,교육,학원,수학학원,카드,True,일시불,
2025-09-13,76290,의료/건강,약국,온누리약국,카드,False,일시불,
2025-06-01,787410,주거/통신,통신비,KT,현금,True,일시불,
2025-12-11,95000,교통비,대중교통,티머니,카드,False,일시불,
2025-07-01,461680,주거/통신,월세,월세이체,카드,True,일시불,
2025-05-04,207350,의료/건강,병원,피부과,현금,False,일시불,
2025-07-01,69140,교육,학원,영어학원,현금,True,일시불,
2025-12-01,93400,금융/보험,대출,대출이자,카드,True,일시불,
2025-11-06,56310,쇼핑,의류,유니클로,현금,False,일시불,
2025-06-01,400650,주거/통신,월세,월세이체,카드,True,일시불,
2025-01-01,411220,주거/통신,월세,월세이체,카드,True,일시불,
2025-05-25,22670,교통비,대중교통,교통카드,카드,False,일시불,
2025-05-26,90700,교통비,대중교통,교통카드,현금,False,일시불,
2025-06-01,12310,식비,식당,김밥천국,현금,False,일시불,
2025-12-11,189320,의료/건강,병원,치과,현금,False,일시불,
2025-11-30,115460,식비,배달,요기요,카드,False,일시불,
2025-04-01,514860,주거/통신,월세,월세이체,현금,True,일시불,
2025-03-01,719440,주거/통신,통신비,KT,카드,True,일시불,
2025-08-01,381470,주거/통신,월세,월세이체,현금,True,일시불,
2025-04-01,379210,금융/보험,보험,KB손해보험,현금,True,일시불,
2025-06-18,113790,식비,식당,한솥도시락,현금,False,일시불,
2025-11-14,78400,의료/건강,헬스장,스포애니,현금,False,일시불,
2025-07-07,35800,쇼핑,잡화,올리브영,현금,False,일시불,
2025-08-01,22640,구독,멜론,멜론,현금,True,일시불,
2025-08-28,113710,의료/건강,헬스장,스포애니,카드,False,일시불,
2025-08-16,239580,문화/여가,취미,교보문고,현금,False,일시불,
2025-03-01,200060,주거/통신,월세,월세이체,현금,True,일시불,
2025-05-20,20090,식비,배달,배달의민족,카드,False,일시불,
2025-08-15,7820,교통비,택시,카카오T,카드,False,일시불,
2025-11-15,127880,식비,카페,스타벅스,현금,False,일시불,
2025-08-01,148170,교육,도서,알라딘,카드,True,일시불,
2026-01-12,55090,식비,배달,쿠팡이츠,현금,False,일시불,
2025-09-01,431510,금융/보험,보험,삼성화재,카드,True,일시불,
2025-03-12,189570,문화/여가,공연,예스24티켓,현금,False,일시불,
2025-07-01,15880,교육,학원,수학학원,카드,True,일시불,
2025-09-12,53350,교통비,택시,카카오T,현금,False,일시불,
2025-04-01,70000,금융/보험,보험,삼성화재,카드,True,일시불,
2025-07-01,29690,구독,유튜브,유튜브프리미엄,현금,True,일시불,
2025-02-01,515060,주거/통신,관리비,아파트관리비,카드,True,일시불,
2025-10-11,79620,식비,배달,배달의민족,현금,False,일시불,
2025-08-01,297440,교육,도서,알라딘,카드,True,일시불,
2025-08-01,161910,금융/보험,대출,은행자동이체,카드,True,일시불,
2025-02-01,13800,구독,넷플릭스,넷플릭스,카드,True,일시불,
2025-08-01,24260,구독,멜론,멜론,카드,True,일시불,
2025-03-01,18130,구독,멜론,멜론,현금,True,일시불,
2025-11-03,64580,교통비,주차,카카오T주차,현금,False,일시불,
2025-03-16,138800,의료/건강,병원,피부과,현금,False,일시불,
2025-11-28,172660,쇼핑,온라인 쇼핑,SSG,현금,False,일시불,
2025-03-19,195770,쇼핑,온라인 쇼핑,11번가,현금,False,일시불,
2025-11-01,424120,금융/보험,보험,KB손해보험,현금,True,일시불,
2025-03-01,547520,주거/통신,월세,월세이체,현금,True,일시불,
2025-11-01,15340,구독,유튜브,유튜브프리미엄,현금,True,일시불,
2025-06-13,207150,의료/건강,약국,메디팜,카드,False,일시불,
2025-02-28,64780,교통비,주차,카카오T주차,카드,False,일시불,
2025-01-01,307700,금융/보험,보험,삼성화재,현금,True,일시불,
2025-08-20,116850,쇼핑,온라인 쇼핑,11번가,현금,False,일시불,
2025-09-21,37690,식비,장보기,홈플러스,카드,False,일시불,
2025-02-04,28110,교통비,주유,S-OIL,카드,False,일시불,
2025-12-01,608090,주거/통신,월세,월세이체,현금,True,일시불,
2025-02-27,189390,문화/여가,여행,아고다,카드,False,일시불,
2025-04-01,413940,금융/보험,보험,KB손해보험,카드,True,일시불,
2026-01-31,44590,의료/건강,헬스장,헬스보이짐,카드,False,일시불,
2025-05-07,109390,식비,장보기,CU,현금,False,일시불,
2025-05-29,173430,문화/여가,취미,문구점,현금,False,일시불,
2025-05-01,198460,주거/통신,통신비,LG U+,카드,True,일시불,
2025-05-01,73410,교육,강의,클래스101,현금,True,일시불,
2025-05-01,604670,주거/통신,통신비,SKT,카드,True,일시불,
2026-01-25,204240,의료/건강,헬스장,스포애니,현금,False,일시불,
2025-10-02,215600,의료/건강,병원,피부과,카드,False,일시불,
2025-12-27,41620,문화/여가,공연,예스24티켓,카드,False,일시불,
2025-05-01,443520,금융/보험,보험,삼성화재,카드,True,일시불,
2025-09-01,129930,금융/보험,보험,KB손해보험,카드,True,할부,7.0
2026-01-22,93000,쇼핑,의류,H&M,카드,False,일시불,
2025-07-11,22730,교통비,대중교통,교통카드,카드,False,일시불,
2025-11-01,194600,금융/보험,대출,대출이자,현금,True,일시불,
2025-08-30,73830,식비,장보기,이마트,카드,False,일시불,
2025-10-08,32090,쇼핑,온라인 쇼핑,쿠팡,카드,False,일시불,
2025-11-12,30270,교통비,주유,현대오일뱅크,카드,False,일시불,
2025-11-01,174570,교육,도서,교보문고,현금,True,일시불,
2025-07-01,80800,금융/보험,보험,삼성화재,현금,True,일시불,
2025-11-24,55840,의료/건강,헬스장,동네헬스장,카드,False,일시불,
2025-06-01,190580,교육,학원,코딩학원,현금,True,일시불,
2025-10-29,146070,의료/건강,병원,정형외과,현금,False,일시불,
2025-11-01,12820,구독,멜론,멜론,현금,True,일시불,
2025-03-01,471250,금융/보험,보험,현대해상,카드,True,일시불,
2025-09-18,115970,식비,배달,요기요,카드,False,일시불,
2025-05-01,4240,교통비,택시,UT,카드,False,일시불,
2025-10-01,301110,주거/통신,월세,월세이체,카드,True,일시불,
2025-12-12,124770,식비,배달,쿠팡이츠,현금,False,일시불,
2025-05-29,83440,문화/여가,영화,롯데시네마,현금,False,일시불,
2025-02-07,67690,교통비,대중교통,교통카드,현금,False,일시불,
2025-04-01,23860,구독,멜론,멜론,현금,True,일시불,
2025-09-01,85140,교육,강의,패스트캠퍼스,현금,True,일시불,
2025-09-26,53490,문화/여가,여행,여기어때,현금,False,일시불,
2025-08-21,43330,쇼핑,잡화,아트박스,현금,False,일시불,
2025-06-01,288610,교육,도서,YES24,현금,True,일시불,
2025-01-01,136500,금융/보험,보험,삼성화재,현금,True,일시불,
2025-06-01,274430,교육,도서,YES24,현금,True,일시불,
2025-05-10,130620,쇼핑,의류,지그재그,현금,False,일시불,
